"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2003","Massachusetts","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.0","14.6","17.4","3704","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Massachusetts","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","14.6","17.1","4779","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Massachusetts","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","18.3","20.4","5150","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Massachusetts","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","19.7","21.7","6504","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Massachusetts","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","20.6","22.2","10528","Overall","All Ages","All Races","All Grades"
"2014-2015","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","14.8","17.7","5194","Overall","All Ages","All Races","All Grades"
"2010-2011","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","16.0","18.4","5444","Overall","All Ages","All Races","All Grades"
"2006-2007","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.4","18.2","20.6","5182","Overall","All Ages","All Races","All Grades"
"2003","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.4","21.1","23.7","4960","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.6","22.4","24.8","6437","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","22.4","24.3","7765","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.7","24.7","26.7","8896","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Michigan","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.2","26.3","28.1","11688","Overall","All Ages","All Races","All Grades"
"2014-2015","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.7","15.9","4084","Overall","All Ages","All Races","All Grades"
"2010-2011","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.9","13.5","16.3","5479","Overall","All Ages","All Races","All Grades"
"2006-2007","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.4","16.8","20.0","5579","Overall","All Ages","All Races","All Grades"
"2003","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.4","20.6","3519","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","19.1","22.2","4434","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.7","22.7","3268","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","21.2","24.5","3300","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Minnesota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","23.3","26.7","3333","Overall","All Ages","All Races","All Grades"
"2014-2015","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","16.5","20.6","3920","Overall","All Ages","All Races","All Grades"
"2010-2011","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","15.1","20.3","2316","Overall","All Ages","All Races","All Grades"
"2006-2007","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.1","18.3","21.9","2076","Overall","All Ages","All Races","All Grades"
"2003","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","18.3","22.3","1839","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","21.7","25.6","2394","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","20.0","23.0","2839","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.6","24.9","2893","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Mississippi","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.5","23.7","27.3","4097","Overall","All Ages","All Races","All Grades"
"2014-2015","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","15.2","18.7","3502","Overall","All Ages","All Races","All Grades"
"2010-2011","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.8","24.4","3735","Overall","All Ages","All Races","All Grades"
"2006-2007","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.0","25.4","3912","Overall","All Ages","All Races","All Grades"
"2003","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","22.3","25.7","2951","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","23.3","26.6","3696","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.9","25.1","2703","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.0","24.3","27.7","2890","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Missouri","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.4","24.6","28.1","3354","Overall","All Ages","All Races","All Grades"
"2014-2015","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","14.4","18.1","4023","Overall","All Ages","All Races","All Grades"
"2010-2011","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","15.2","19.8","2241","Overall","All Ages","All Races","All Grades"
"2006-2007","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","16.2","19.6","2521","Overall","All Ages","All Races","All Grades"
"2003","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","19.8","24.0","2295","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.3","19.4","23.2","2665","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","21.8","24.8","3431","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","22.3","25.6","3390","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Montana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.7","25.1","3780","Overall","All Ages","All Races","All Grades"
"2014-2015","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.3","13.4","17.3","3017","Overall","All Ages","All Races","All Grades"
"2010-2011","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.1","14.4","17.8","3507","Overall","All Ages","All Races","All Grades"
"2006-2007","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.2","20.8","3450","Overall","All Ages","All Races","All Grades"
"2003","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","19.6","23.4","3024","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","19.8","23.1","3962","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.6","22.7","3161","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","19.9","23.1","3273","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Nebraska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","20.5","23.5","4024","Overall","All Ages","All Races","All Grades"
"2014-2015","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.4","15.8","3056","Overall","All Ages","All Races","All Grades"
"2010-2011","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","15.3","18.5","3580","Overall","All Ages","All Races","All Grades"
"2006-2007","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.4","19.8","3718","Overall","All Ages","All Races","All Grades"
"2003","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.0","16.5","19.5","3834","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.4","20.8","24.0","4231","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.1","22.5","25.6","3000","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.1","26.4","29.8","2455","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Nevada","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.5","26.8","30.2","3003","Overall","All Ages","All Races","All Grades"
"2014-2015","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.5","15.6","3962","Overall","All Ages","All Races","All Grades"
"2010-2011","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.4","13.1","15.7","4918","Overall","All Ages","All Races","All Grades"
"2006-2007","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","14.8","18.2","5061","Overall","All Ages","All Races","All Grades"
"2003","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.6","19.8","3236","Overall","All Ages","All Races","All Grades"
"2001-2002   ","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.7","24.7","4150","Overall","All Ages","All Races","All Grades"
"1998-1999   ","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","20.3","23.8","2410","Overall","All Ages","All Races","All Grades"
"1995-1996   ","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","21.9","25.5","2357","Overall","All Ages","All Races","All Grades"
"1992-1993   ","New Hampshire","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.6","22.8","26.4","2244","Overall","All Ages","All Races","All Grades"
"2014-2015","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.1","8.7","11.4","4525","Overall","All Ages","All Races","All Grades"
"2010-2011","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.2","10.1","12.3","4598","Overall","All Ages","All Races","All Grades"
"2006-2007","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.2","12.1","14.3","4645","Overall","All Ages","All Races","All Grades"
"2003","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.0","13.8","16.2","4199","Overall","All Ages","All Races","All Grades"
"2001-2002   ","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","17.1","19.4","5723","Overall","All Ages","All Races","All Grades"
"1998-1999   ","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.8","18.9","20.8","6469","Overall","All Ages","All Races","All Grades"
"1995-1996   ","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","19.6","21.4","7795","Overall","All Ages","All Races","All Grades"
"1992-1993   ","New Jersey","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.6","19.8","21.4","11313","Overall","All Ages","All Races","All Grades"
"2014-2015","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","11.6","15.9","3438","Overall","All Ages","All Races","All Grades"
"2010-2011","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","12.6","17.0","1669","Overall","All Ages","All Races","All Grades"
"2006-2007","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.4","21.0","2268","Overall","All Ages","All Races","All Grades"
"2003","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.2","21.0","2053","Overall","All Ages","All Races","All Grades"
"2001-2002   ","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","18.5","22.2","2663","Overall","All Ages","All Races","All Grades"
"1998-1999   ","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.5","22.4","3177","Overall","All Ages","All Races","All Grades"
"1995-1996   ","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","22.4","25.6","3129","Overall","All Ages","All Races","All Grades"
"1992-1993   ","New Mexico","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.1","22.4","25.7","3052","Overall","All Ages","All Races","All Grades"
"2014-2015","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.2","11.3","13.1","8864","Overall","All Ages","All Races","All Grades"
"2010-2011","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.4","11.6","13.2","9614","Overall","All Ages","All Races","All Grades"
"2006-2007","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.1","14.3","15.9","9204","Overall","All Ages","All Races","All Grades"
"2003","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","16.7","18.5","8092","Overall","All Ages","All Races","All Grades"
"2001-2002   ","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.9","18.1","19.7","11683","Overall","All Ages","All Races","All Grades"
"1998-1999   ","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","19.9","21.2","13427","Overall","All Ages","All Races","All Grades"
"1995-1996   ","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","20.2","21.5","15075","Overall","All Ages","All Races","All Grades"
"1992-1993   ","New York","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.7","21.1","22.4","18356","Overall","All Ages","All Races","All Grades"
"2014-2015","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.0","14.4","17.6","4903","Overall","All Ages","All Races","All Grades"
"2010-2011","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","15.7","19.5","4735","Overall","All Ages","All Races","All Grades"
"2006-2007","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.6","21.2","4655","Overall","All Ages","All Races","All Grades"
"2003","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.2","23.4","3697","Overall","All Ages","All Races","All Grades"
"2001-2002   ","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","22.6","25.5","4812","Overall","All Ages","All Races","All Grades"
"1998-1999   ","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.0","21.8","24.1","5862","Overall","All Ages","All Races","All Grades"
"1995-1996   ","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.2","25.1","27.3","7715","Overall","All Ages","All Races","All Grades"
"1992-1993   ","North Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.9","26.0","27.7","11850","Overall","All Ages","All Races","All Grades"
"2014-2015","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","15.6","19.7","3006","Overall","All Ages","All Races","All Grades"
"2010-2011","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","14.7","19.5","3067","Overall","All Ages","All Races","All Grades"
"2006-2007","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.2","20.8","3162","Overall","All Ages","All Races","All Grades"
"2003","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","19.0","22.4","3045","Overall","All Ages","All Races","All Grades"
"2001-2002   ","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","21.3","24.6","3544","Overall","All Ages","All Races","All Grades"
"1998-1999   ","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","19.0","22.0","3157","Overall","All Ages","All Races","All Grades"
"1995-1996   ","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.0","25.4","3218","Overall","All Ages","All Races","All Grades"
"1992-1993   ","North Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.1","20.4","23.7","3805","Overall","All Ages","All Races","All Grades"
"2014-2015","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.7","20.3","6363","Overall","All Ages","All Races","All Grades"
"2010-2011","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.0","19.5","22.5","6338","Overall","All Ages","All Races","All Grades"
"2006-2007","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","21.3","23.7","6402","Overall","All Ages","All Races","All Grades"
"2003","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.6","20.3","22.9","5641","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.6","23.4","25.8","7508","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","23.1","25.0","8451","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.1","25.1","27.0","9516","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Ohio","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.9","25.1","26.8","12426","Overall","All Ages","All Races","All Grades"
"2014-2015","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","16.7","20.3","3312","Overall","All Ages","All Races","All Grades"
"2010-2011","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.0","20.9","25.1","2852","Overall","All Ages","All Races","All Grades"
"2006-2007","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.6","25.4","3058","Overall","All Ages","All Races","All Grades"
"2003","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.4","20.6","24.2","2748","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","23.5","27.0","3235","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.5","26.0","29.1","3367","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.5","23.9","27.2","3591","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Oklahoma","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.6","24.8","28.3","3536","Overall","All Ages","All Races","All Grades"
"2014-2015","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.9","12.3","15.4","3389","Overall","All Ages","All Races","All Grades"
"2010-2011","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.6","13.4","15.8","3341","Overall","All Ages","All Races","All Grades"
"2006-2007","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","16.1","19.7","3273","Overall","All Ages","All Races","All Grades"
"2003","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","17.6","21.0","3050","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","18.0","21.1","3934","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.6","22.7","2883","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","20.9","24.2","2801","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Oregon","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","21.2","24.6","3127","Overall","All Ages","All Races","All Grades"
"2014-2015","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.5","17.1","6576","Overall","All Ages","All Races","All Grades"
"2010-2011","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.4","17.6","6887","Overall","All Ages","All Races","All Grades"
"2006-2007","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","18.1","20.1","7124","Overall","All Ages","All Races","All Grades"
"2003","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.9","17.8","20.0","6589","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.8","22.9","8572","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","22.0","23.8","9988","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.1","23.2","25.0","10924","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Pennsylvania","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","22.6","24.2","12950","Overall","All Ages","All Races","All Grades"
"2014-2015","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.6","9.8","13.3","2753","Overall","All Ages","All Races","All Grades"
"2010-2011","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","14.2","17.6","3852","Overall","All Ages","All Races","All Grades"
"2006-2007","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.0","15.3","18.7","3873","Overall","All Ages","All Races","All Grades"
"2003","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.7","20.7","3139","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.7","20.5","4249","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.3","21.5","2380","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.8","22.0","25.5","2322","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Rhode Island","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.5","24.9","2468","Overall","All Ages","All Races","All Grades"
"2014-2015","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","15.7","19.7","3514","Overall","All Ages","All Races","All Grades"
"2010-2011","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","15.8","19.0","3211","Overall","All Ages","All Races","All Grades"
"2006-2007","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.1","22.7","3091","Overall","All Ages","All Races","All Grades"
"2003","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.7","24.5","2304","Overall","All Ages","All Races","All Grades"
"2001-2002   ","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","19.8","23.1","3003","Overall","All Ages","All Races","All Grades"
"1998-1999   ","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","21.1","24.3","2590","Overall","All Ages","All Races","All Grades"
"1995-1996   ","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.1","23.5","26.8","2534","Overall","All Ages","All Races","All Grades"
"1992-1993   ","South Carolina","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.6","24.1","27.2","3818","Overall","All Ages","All Races","All Grades"
"2014-2015","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.8","16.5","21.1","3038","Overall","All Ages","All Races","All Grades"
"2010-2011","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.7","17.8","21.6","3723","Overall","All Ages","All Races","All Grades"
"2006-2007","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","18.5","21.9","3814","Overall","All Ages","All Races","All Grades"
"2003","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.3","21.5","3204","Overall","All Ages","All Races","All Grades"
"2001-2002   ","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.3","22.5","3801","Overall","All Ages","All Races","All Grades"
"1998-1999   ","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.1","22.5","25.7","3092","Overall","All Ages","All Races","All Grades"
"1995-1996   ","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","21.2","24.3","3382","Overall","All Ages","All Races","All Grades"
"1992-1993   ","South Dakota","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.4","23.8","27.0","4058","Overall","All Ages","All Races","All Grades"
"2014-2015","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.3","20.2","3969","Overall","All Ages","All Races","All Grades"
"2010-2011","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.1","23.3","3102","Overall","All Ages","All Races","All Grades"
"2006-2007","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.9","25.1","3129","Overall","All Ages","All Races","All Grades"
"2003","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","20.6","24.8","2087","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.1","24.2","28.0","2847","Overall","All Ages","All Races","All Grades"
